,word,urú,prefix,suffix
73,bhfeidhmíonn,bh,,íonn
74,fheiniméin,,,éin
75,mbrainse,m,,se
76,neamhdhíobhálach,,neamh,ach
77,luíodú,,,ú
78,talamhcheannaigh,t,,aigh
79,cithfholcadán,,,adán
80,Tiomsóidh,,,óidh
81,ghéartheannais,,,ais
82,Meas,,,eas
83,D'eisigh,D',eisi,igh
84,Léigiúnach,,,ach
85,Scrudóireacht,,,eacht
86,timfhilleadh,t,,eadh
87,míne,,mín,ne
88,Dleathach,,,ach
89,Eatramh,,,amh
90,sheachadta,,,ta
91,Aimsire,,,ire
92,gadaithe,,,aithe
93,fhostóra,,,ra
94,comhchearta,,comh,ta
95,líomóidí,,,í
96,Chaidreamh,,,amh
97,Nanaitheicneolaíochtaí,,,taí
98,d'fhéach,d',,ach
99,Phaitinní,,,í
100,Táirgeoirí,,,í
101,Aithnítear,,,ítear
102,únaeraí,,,aí
103,ndeatach,n,dea,ach
104,toirmiscte,t,,te
105,Thrasatlantach,,,ach
106,cianchumarsáide,,,e
107,déarfá,,dé,fá
108,tréadacha,,tré,acha
109,Feidhmeoidh,,,idh
110,rithfidh,,,fidh
111,pizzeria,,,ia
112,Glaoigh,,,igh
113,aghaidh,,,aidh
114,mhodheolaíocht,,,aíocht
115,plumáiste,,,te
116,hóstáin,h,,in
117,neamhrialaithe,,neamh,aithe
118,bhean,,,an
119,datha,,,tha
120,fabhrú,,,ú
121,tacaíonn,t,,aíonn
122,Malartaigh,,,aigh
123,fhínnéithe,,,ithe
124,Bhacaigh,,,aigh
125,ghairme,,,e
126,n-eisceacht,n-,,eacht
127,uaireanna,,,eanna
128,Mhacha,,,acha
129,haicmiú,h,,iú
130,scagadh,,,adh
131,titeann,t,,eann
132,ndeighleálfar,n,,far
133,réasúnú,,réa,ú
134,Téalainn,,,inn
135,Chlárúcháin,,,in
136,astaíochtaí,,as,taí
137,n-ionadaíochtaí,n-,ion,taí
138,Scaipthe,,,the
139,phríosúntachta,,,ta
140,neamhranníocach,,neamh,ach
141,gcistiúchán,g,,án
142,do-chúlghairmthe,,do,the
143,marbhtha,,,tha
144,Samplach,,,ach
145,Throne,,,ne
146,guairí,,,í
147,uirlis,,,is
148,chuidiú,,,iú
149,gníomhaíochtaí,,,taí
150,gcomhaontófar,g,comh,ófar
151,Chúigiú,,,iú
152,sparóg,,,óg
153,fionróidh,,,óidh
154,Ritheadh,,,eadh
155,n-inscne,n-,in,ne
156,Gar-suas,,,as
157,Treorach,,,ach
158,bhruithnithe,,,ithe
159,chuile,,,e
160,heirí,h,,í
161,dtoilíonn,d,,íonn
162,Printéir,,,éir
163,Sáinnithe,,,ithe
164,statha,,,tha
165,hiomchuí,h,,í
166,Litiam,,,iam
167,achtacháin,,,in
168,Spotsolais,,,ais
169,hoibrí,h,,í
170,Shinsearach,,,ach
171,daonchairdiúla,,daon,a
172,muilleoireacht,,,eacht
173,chríocha,,,a
174,matánacha,,,acha
175,comha,,comh,a
176,slánlanna,,,anna
177,hEalaíona,h,,na
178,thocsaineacht,,,eacht
179,feiniméan,,,an
180,fhoréigean,,,an
181,heolaíochta,h,eo,ta
182,nDámhachtainí,n,,í
183,neamhfheidhmiúcháin,,neamh,in
184,filleann,,,eann
185,chaite,,,te
186,baolach,,,ach
187,luath-óigeisteach,,luath,each
188,clóirín,,,ín
189,aonad,,aon,ad
190,tugadh,t,,adh
191,d'fharraigí,d',,igí
192,taiseachas,t,tais,achas
193,diúlta,,,ta
194,innermostde,,in,e
195,inrianaitheacht,,in,eacht
196,mhíneoidh,,,idh
197,inimirceach,,in,each
198,Agra-chomhshaoil-aeráide,,,e
199,d'eisiúint,d',eisi,úint
200,saorbhearna,,,na
201,bhéadfar,,,far
202,tréithrithe,,tré,ithe
203,dhéantúsaíocht,,,aíocht
204,phríomhshuim,,,im
205,t-ainmhidhe,t-,ain,idhe
206,neamhreachtacha,,neamh,acha
207,aistí,,ais,tí
208,nealaíontóirí,,,í
209,sroichte,,,te
210,Neamhchiontach,,,ach
211,tiubhacháin,t,,in
212,oll-ardaithe,,oll,aithe
213,eiríonn,,,íonn
214,thréigfear,,,fear
215,dáilte,,dá,te
216,roimhshealbhadóirí,,ro,í
217,Rúiseigh,,,igh
218,t-aireachas,t-,,achas
219,aslonnú,,as,ú
220,scairshealbhóirí,,,í
221,craoladh,,,adh
222,an-chostasach,,an,ach
223,Batman,,,an
224,hea,h,,a
225,ceannlíne,,ceann,ne
226,pátrúin,,,in
227,Bhreathnaigh,,,aigh
228,forchuirfear,,for,fear
229,gceartaítear,g,,ítear
230,Tugadh,,,adh
231,flít,,,ít
232,haisíocaíochtaí,h,ais,taí
233,grósaeireachta,,,ta
234,hAontas,h,,tas
235,foirmle,,fo,e
236,aisghníomhú,,ais,ú
237,straitéisí,,,í
238,athchúrsáil,,ath,áil
239,siarghabhálach,,,ach
240,rialtacht,,,tacht
241,n-árachófar,n-,,ófar
242,diúltuítear,,,ítear
243,uairibh,,,ibh
244,bproiséas,b,,as
245,feachtais,,,ais
246,scriosann,,,ann
247,feabhas,,,as
248,Bheirlín,,,ín
249,Ní,,,í
250,Beach,,,each
251,chomheagrú,,,ú
252,dtabhóidh,d,,óidh
253,gcurtha-igcoinnibh,g,,ibh
254,catha,,,tha
255,mbreiseán,m,,eán
256,Ailgéirigh,,,igh
257,Tarmligtear,,,ear
258,forbartha,,for,tha
259,bhata,,,ta
260,Mhalartáin,,,in
261,cuirfidh,,,fidh
262,Subiecte,,,te
263,compánach,,,ach
264,buanaithe,,buan,aithe
265,fhliuchán,,,án
266,Alternanthera,,,ra
267,urramóidh,,ur,óidh
268,solais,,so,ais
269,óstáin,,,in
270,choirce,,,e
271,rollach,,ro,ach
272,Díola,,,a
273,athraímid,,ath,aímid
274,ionadóidh,,ion,óidh
275,phóca,,,a
276,phromhadh,,,mhadh
277,iascaigh,,,aigh
278,sheachán,,,achán
279,Féideartha,,,tha
280,suainmheacháin,,,in
281,gcreasa,g,,sa
282,Chinnteacht,,,eacht
283,éadan,,éa,an
284,ndualgas,n,,as
285,gcomhshocraíochtaí,g,comh,taí
286,boinn,,,inn
287,gCíoradh,g,,radh
288,uirbithe,,,ithe
289,Eimear,,,ear
290,gcomhla,g,comh,a
291,craicinn,,,inn
292,n-aisghabhfaidh,n-,ais,faidh
293,vótálfidh,,,fidh
294,príomh-smaoineamh,,príomh,amh
295,caiféin,,,éin
296,mód,,,ód
297,chamchuairteanna,,,eanna
298,inscríofa,,in,a
299,gnáthchónaitheoir,,gnáth,eoir
300,chomhnuíonn,,,íonn
301,Micribhitheolaíochta,,,ta
302,roicéad,,ro,éad
303,pinsinéirí,,,í
304,shonrú,,,ú
305,coillte,,,te
306,headar-ghnóthaí,h,,aí
307,gcoimeádáin,g,,in
308,Braille,,,e
309,beige,,,e
310,Fáilte,,,te
311,Imirce,,,e
312,gCuntas,g,,tas
313,Chreasa,,,sa
314,sheolfaí,,,aí
315,Miondíoltóir,,,tóir
316,ceartaitheacha,,,eacha
317,diúil,,,úil
318,oícheanta,,,ta
319,LAnna,,,na
320,chruithneachtain,,,in
321,fo-roinnte,,fo,te
322,co-theoranta,,,ta
323,aineolach,,ain,ach
324,foth-fholúntas,,fo,tas
325,Phósadh,,,adh
326,mór-oifigí,,mór,igí
327,gcomaoin,g,,in
328,gcomhrialtas,g,comh,tas
329,Trucailí,,,í
330,líomhnóidh,,,óidh
331,thuasluaite,,,te
332,Dílsiú,,,iú
333,príomhcheann,,príomh,eann
334,ilchéime,,il,e
335,Fheidhmeannach,,,ach
336,íditheach,,,each
337,tarrtháladh,t,tar,adh
338,bhfréamhaíochta,bh,,ta
339,Caingean,,,an
340,mórchoda,,mór,da
341,insrianaithe,,in,aithe
342,bhFoirmle,bh,,e
343,iomportála,,,a
344,fhoirmiú,,,iú
345,Shan,,,an
346,bualchomlan,,,an
347,allmhuirithe,,,ithe
348,Oibre,,,e
349,bleachtaireachta,,,ta
350,bíseach,,,each
351,Chuaigh,,,aigh
352,dea-bhreithiúnas,,dea,únas
353,bhunaíochta,,,ta
354,earráide,,,e
355,ndlínse,n,,se
356,neamh-inúsáidte,,neamh,te
357,tosaitheoirí,t,,í
358,n-oibreoidh,n-,,idh
359,socróidh,,so,óidh
360,neamh-oiriúnach,,neamh,ach
361,Feabhra,,,ra
362,buailte,,,te
363,héifeachtúlacht,h,,acht
364,mban,m,ban,an
365,éigeantach,,,ach
366,droch-creidmheasa,,droch,sa
367,thaistealaíonn,,,aíonn
368,Cumais,,,ais
369,haontacht,h,aon,tacht
370,monacrómatach,,mona,ach
371,Halla,,,a
372,buan-eadránaí,,buan,aí
373,friochta,,,ta
374,luachmhairiú,,,iú
375,Dúil,,,úil
376,éirithe,,,ithe
377,Maoineoidh,,,idh
378,aeriompróir,,aer,óir
379,silíní,,,í
380,Ard-Caighdeán,,,eán
381,forchoimeádadh,,for,adh
382,Soghluaisteacht,,,eacht
383,mholfaidh,,,faidh
384,dTuarascálacha,d,,acha
385,séanadh,,,adh
386,Laitviach,,,ach
387,mhaolóidh,,,óidh
388,MÁleata,,,ta
389,dua,,,a
390,Tuarascáil,,,áil
391,chomhleanúnach,,,ach
392,Turas,,,as
393,Sedan,,,an
394,leathfaidh,,leath,faidh
395,bheathaíonn,,,aíonn
396,gcaomhnú,g,,ú
397,caoinchead,,,ad
398,fuaimrian,,,an
399,Traenálaí,,,aí
400,rialta,,,ta
401,File,,,e
402,cruachta,,,ta
403,bhfágfar,bh,,far
404,eolais,,eo,ais
405,nIasacht,,,acht
406,cripteadraí,,,aí
407,Ríocht,,,íocht
408,álainn,,,inn
409,ghnóthú,,,ú
410,lánmheilte,,,te
411,tseomra,t,,ra
412,dlífidh,,,fidh
413,in-idirbhriste,,in,te
414,ndéanfainn,n,dé,inn
415,réamh-suiteáilte,,réamh,te
416,Gníomhas,,,as
417,srathach,,,ach
418,cheathrú,,,ú
419,éigeantacha,,,acha
420,Cathardha,,,a
421,Málta,,,ta
422,smaointeoireacht,,,eacht
423,neamhthruthaitheachta,,neamh,ta
424,síochántateaghlach,,,ach
425,Treorú,,,ú
426,Todóg,,,óg
427,díbhordáil,,dí,áil
428,neamhnáisiúnach,,neamh,ach
429,íocaíocht,,,aíocht
430,fhorluí,,,í
431,phríomhleathanaigh,,,aigh
432,Leasaítear,,,ítear
433,Tomhsaire,,,aire
434,n-staideanna,,,eanna
435,ilmhódach,,il,ach
436,síntiúis,,,is
437,frith-fhrithchaiteacha,,frith,eacha
438,gairleacha,,,eacha
439,Innealra,,,ra
440,gcoibhéis,g,,is
441,Thine,,,ne
442,bainfe,,bain,e
443,gramadaí,,,aí
444,gceanncheathrúna,g,ceann,na
445,luasanna,,,anna
446,fhiú,,,iú
447,Tráthnóna,,,na
448,uathúlacht,,uath,acht
449,thrédhearcacht,,,arcacht
450,lamháiltear,,,ear
451,aslaíodh,,as,íodh
452,Glúcós,,,ós
453,spreagaithe,,,aithe
454,thuras,,,as
455,dhéthaobhaigh,,,aigh
456,Ardteastas,,,tas
457,luasghluaiseachtaí,,,taí
458,chreideas,,,eas
459,Ardoideachas,,,achas
460,pharanoia,,,ia
461,bhrathadóir,,,adóir
462,theastas,,,tas
463,sheachtaine,,,ne
464,Deisiú,,,iú
465,ciníocha,,,a
466,siúlóide,,,e
467,shealbhairí,,,í
468,lánaíonn,,,aíonn
469,polaraithe,,pola,aithe
470,cheadúnas,,,únas
471,urraíochta,,ur,ta
472,ullmhaíodh,,,íodh
473,cairtfhostaithe,,,aithe
474,soiléiriú,,so,iú
475,íocóir,,,óir
476,Éadromaigh,,,aigh
477,líneáilte,,,te
478,ndisciplín,n,dis,ín
479,méad,,,éad
480,méadaitheach,,,each
481,cheannaireacht,,,eacht
482,n-cúis,,,is
483,Bailigh,,,igh
484,Ciaran,,,an
485,líomhnaítear,,,ítear
486,Cúirte,,,te
487,n-inúchadh,n-,in,adh
488,gas,,,as
489,riarann,,,ann
490,ngásailín,n,,ín
491,fíocháin,,,in
492,neamhthuilleamaí,,neamh,aí
493,Fhionnghlas,,,as
494,Foriomlán,,,án
495,Anja,,,a
496,oilithreacht,,,eacht
497,mionn,,mion,nn
498,nGealach,n,,ach
499,athstruchtúrtha,,ath,tha
500,dhianacha,,,acha
501,hormónach,h,,ach
502,Rachfar,,,far
503,gnáthlamhálacha,,gnáth,acha
504,fhanfaidh,,,faidh
505,útruisce,,,e
506,cruthúnachta,,,ta
507,Ljubljana,,,na
508,fabhrach,,,ach
509,chéimeanna,,,eanna
510,fáltáis,,,áis
511,Letrozole,,,e
512,Nua-Aoisiú,,,iú
513,vótáladh,,,adh
514,táirgiúil,t,,úil
515,fógróidh,,,óidh
516,Mhichelle,,,e
517,láidreacht,,,eacht
518,cheiste,,,te
519,ard-iontaofacht,,ard,acht
520,impleachtaí,,im,taí
521,formaildéad,,for,éad
522,Dúinn,,,inn
523,Airgeadra,,,ra
524,shighneoidh,,,idh
525,Chaomhnóra,,,ra
526,iascach,,,ach
527,tiúnta,t,,ta
528,comhpháirtithe,,comh,ithe
529,chaighdeáin,,,in
530,Meastacháin,,,in
531,Éineola,,,a
532,agóideoir,,,eoir
533,frithsheoltóir,,frith,tóir
534,nádúr,,,úr
535,imshruthaithe,,im,aithe
536,trírothach,,trí,ach
537,bhunacmhainne,,,ne
538,Foras,,,as
539,an-baininscneach,,an,each
540,lagaíonn,,lag,aíonn
541,láimhseálfaidh,,,faidh
542,goireas,,,eas
543,Rialuitheoir,,,eoir
544,nadine,,,ne
545,comhchoiste,,comh,te
546,haoine,h,,ne
547,lár-phointe,,lár,te
548,thuigim,,,im
549,dTeicneolaíochtaí,d,,taí
550,elastin,,,in
551,mBreitheanna,m,,eanna
552,phéinteanna,,,eanna
553,ultra-préimhe,,ultra,e
554,mhonaróir,,,óir
555,roghnaíochta,,ro,ta
556,d'eaglais,d',,ais
557,chomhshainiú,,,iú
558,Maoirseachta,,,ta
559,méadaíonn,,,aíonn
560,dúbalta,,dú,ta
561,neachoinníollach,,,ach
562,Rátála,,,a
563,feádfar,,,far
564,bhfo-léas,bh,fo,as
565,eibhear,,,ear
566,Scealpadh,,,adh
567,milseoirí,,,í
568,d'fhorghabháil,d',,áil
569,thuairiscigh,,,igh
570,bronnadh,,,adh
571,hairnéismhorgáiste,h,,te
572,seirbheálfar,,,far
573,chontae-bhuirge,,,e
574,Feabhsaitheoir,,,eoir
575,réidh,,ré,idh
576,coiscthe,,,the
577,crómasóim,,,im
578,hiarrfar,h,iar,far
579,Píolótach,,,ach
580,Eixample,,,e
581,co-ionann,,,ann
582,achtaítear,,,ítear
583,corpruithe,,,ithe
584,léite,,,te
585,aghaidhe,,,aidhe
586,Úsáide,,,e
587,d'éinne,d',,ne
588,fhaitíos,,,íos
589,Astilbe,,,e
590,diúscairtí,,,tí
591,infheistíonn,,in,íonn
592,mórghuaiseacha,,mór,eacha
593,Uiscedhíonach,,,ach
594,caindíochtaí,,,taí
595,Meánfhad,,,ad
596,comhlánú,,comh,ú
597,thuairimse,,,se
598,campáil,,,áil
599,choigeartúcháin,,,in
600,ghintear,,,ear
601,t-Ordú,t-,,ú
602,daonlathais,,daon,ais
603,Bainistíocht,,,íocht
604,gar-uilechoiteann,,gar,eann
605,riailtéarmaí,,,aí
606,neamhscaoilte,,neamh,te
607,anailísithe,,ana,ithe
608,luach,,,ach
609,prograjma,,,a
610,gcúlra,g,cúl,ra
611,dlíte,,,te
612,nImbhuailtí,,,tí
613,Dhearcadh,,,adh
614,neamhspleáchas,,neamh,as
615,Aisíocfaidh,,,faidh
616,liaighdheimhniúcháin,,,in
617,éigeantaí,,,taí
618,ngnáthchleachtais,n,gnáth,ais
619,chluiche,,,e
620,d'Fhógraí,d',,aí
621,Charachtar,,,tar
622,Sóivéidí,,,í
623,n-athais,n-,ath,ais
624,sinsearaí,,sin,aí
625,tuillíní,t,,í
626,saorchead,,,ad
627,Reachtanna,,,anna
628,plaisteach,,,each
629,shaotharstad,,,ad
630,Colúin,,,in
631,Cuirfidh,,,fidh
632,cúisithe,,,ithe
633,híle,h,,e
634,bhaineas,,,eas
635,hÁsliú,h,,iú
636,re,,,e
637,amharc-íomhánna,,am,na
638,Cuirfear,,,fear
639,Príomhbhóithre,,,e
640,Faighte,,,te
641,teachtaireachta,t,,ta
642,t-ionchúiseamh,t-,ion,amh
643,chloisteáil,,,áil
644,an-beacht,,an,eacht
645,onóir,,,óir
646,scafaithe,,,aithe
647,CD-bhunaithe,,,aithe
648,fhoirmiúlachtaí,,,taí
649,inmhalartaithe,,in,aithe
650,bpróiseálaí,b,,aí
651,smaoineamh,,,amh
652,phléascáin,,,in
653,mbeimid,m,,imid
654,Thalmhaíochta,,,ta
655,strusmhar,,,mhar
656,stad,,,ad
657,calaois,,,is
658,loscadh,,,adh
659,cúlghairme,,cúl,e
660,Buneolas,,,as
661,shlánaigh,,,aigh
662,thugann,,,ann
663,Samhna-mí,,,í
664,roghnóra,,ro,ra
665,ngenerálta,n,,ta
666,samhlú,,,ú
667,lárchomhairle,,lár,e
668,Biotáille,,,e
669,Mheilcíteach,,,each
670,chúramsa,,,sa
671,Tokia,,,ia
672,ghabhfaidh,,,faidh
673,chúntóir,,,tóir
674,hardranganna,h,ard,anna
675,bhogearra,,,ra
676,Frith-machnamhach,,,ach
677,gcannaí,g,,aí
678,mórdhíola,,mór,a
679,ghaireacht,,,eacht
680,Coinleach,,,each
681,phríomhghníomhaí,,,aí
682,ghearrfaidh,,,faidh
683,bhronnfar,,,far
684,neamhréasúnach,,neamh,ach
685,damhna,,,na
686,D'fhéadfaí,D',,aí
687,santaigh,,,aigh
688,chláraigh,,,aigh
689,chaluíochta,,,ta
690,núíosach,,,ach
691,chomhairliúcháin,,,in
692,árnAontais,,,ais
693,dócha,,dó,a
694,grúpscéim,,grúp,im
695,bhithéagsúlacht,,,acht
696,choinneoidh,,,idh
697,choinsíní,,,í
698,Umna,,,na
699,Roghnaíodh,,,íodh
700,sínitheacha,,,eacha
701,íos-sosanna,,íos,anna
702,ophtalmaigh,,,aigh
703,sna,,,na
704,Bhain,,,in
705,Make,,,e
706,ghnáthghníomhaíochtaí,,,taí
707,iompaigh,,,aigh
708,príosúnachta,,,ta
709,gcorrlaigh,g,corr,aigh
710,measadh,,,adh
711,n-éascaíonn,n-,éa,aíonn
712,drámatúil,,,túil
713,inathainmnithe,,in,ithe
714,piseán,,,eán
715,Gaeilgeoirí,,,í
716,Mheasúnú,,,ú
717,mí-áitneamhach,,mí,ach
718,Bhunreachta,,,ta
719,buan-choimeádta,,buan,ta
720,barainneachtaí,,barai,taí
721,ardaíódh,,ard,ódh
722,mbreithiúnais,m,,ais
723,práinneacha,,,eacha
724,dóiteáin-sábháilteacht,,dó,eacht
725,buidéalú,,,alú
726,déileálacha,,dé,acha
727,déileáfar,,dé,far
728,niompróirí,,,í
729,Trobe,,,e
730,saintreorach,,sain,ach
731,Ard-chumhacht,,,acht
732,shinsearach,,,ach
733,Aoibh,,,ibh
734,mór-reacaire,,mór,aire
735,thrátaí,,,taí
736,mhalartaíonn,,,aíonn
737,eastóscánraí,,eas,aí
738,iadhtán,,,án
739,ríomhthráchtáil,,ríomh,áil
740,leathana,,leath,na
741,bólacht,,,acht
742,Ajania,,,ia
743,Napa,,,a
744,féinfhaireachán,,féin,achán
745,scóranna,,,anna
746,foghnóthas,,fo,as
747,ndíolfar,n,dí,far
748,anaestéiseach,,ana,each
749,Dúshláin,,,in
750,tiarratasóir,t,,óir
751,gnóthachain,,,in
752,athbheochan,,ath,chan
753,airbheartós,,,ós
754,breitheamh,,,amh
755,Criostóir,,,tóir
756,Líonann,,,ann
757,fhreastalaíonn,,,aíonn
758,heagrán,h,,án
759,Sonraítear,,,ítear
760,teidlíocht,t,,íocht
761,Faireachais,,,ais
762,tacaithe,t,,aithe
763,Laghdaítear,,,ítear
764,Tréimhsí,,,í
765,Gramadán,,,adán
766,chnap-shuim,,,im
767,tsuíochain,t,,in
768,thuairisciú,,,iú
769,reifreann,,,eann
770,polaivinile,,pola,e
771,hOifigigh,h,,igh
772,sealbháin,,,in
773,Cosnaíonn,,,aíonn
774,dtagrófar,d,,ófar
775,gcothruim,g,,im
776,please,,,se
777,telefóna,t,,na
778,shealbhán,,,án
779,Siamsaíocht,,,aíocht
780,d'ullmhú,d',,ú
781,triomacht,,,acht
782,náireofar,,,far
783,tOrdú,t,,ú
784,múnlú,,,ú
785,tóin,t,,in
786,Phuiblí,,,í
787,ríofa,,,a
788,Sreangú,,,ú
789,gcoiteannas,g,,as
790,Innealta,,,ta
791,shealbhaímid,,,aímid
792,chuimsíonn,,,íonn
793,Sonróidh,,,óidh
794,chlárófaí,,,ófaí
795,t-seirbhíseach,t-,,each
796,tÁre,t,,e
797,Al-gaisce,,,e
798,díbhinní,,dí,í
799,sharóidh,,,óidh
800,fo-fillteáin,,fo,in
801,ficsin,,,in
802,Bóithre,,,e
803,ngnáthchomhalta,n,gnáth,ta
804,n-asbhaintear,n-,as,ear
805,June,,,ne
806,Ardachadh,,,adh
807,dtosnófar,d,,ófar
808,maolófar,,,ófar
809,héarlaise,h,éa,se
810,Aer-Loingseoireacht,,,eacht
811,péilíní,,,í
812,Comhdhlúite,,,te
813,saille,,,e
814,trasphlandú,,tras,ú
815,gcruithneacht,g,,eacht
816,sheach-chuideachta,,,ta
817,Geim,,,im
818,dhlúthdhioscaí,,,aí
819,Mhaisitheacha,,,eacha
820,foráladh,,for,adh
821,faoin,,,in
822,cantarlann,,,lann
823,phumpáil,,,áil
824,díluchtú,,dí,ú
825,Pearsantaithe,,,aithe
826,n-iontráil,n-,ion,áil
827,Caife,,,e
828,leithlí,,,í
829,chaiteachais,,,ais
830,Chreimthe,,,the
831,Ionchais,,,ais
832,amaitéarach,,am,ach
833,cúirtbhanna,,,anna
834,Cheanncheathrú,,,ú
835,n-iarraidh,n-,iar,aidh
836,thoghcháin,,,in
837,oidí,,,í
838,réchaite,,ré,te
839,socraíocht,,so,aíocht
840,Tosaíocht,,,aíocht
841,gcroí,g,,í
842,ísliú,,,iú
843,uastiúchana,,uas,na
844,comhthreomhara,,comh,ra
845,teilifíse,t,teili,se
846,Chúirteanna,,,eanna
847,íosghrádú,,íos,ú
848,Leabaigh,,,aigh
849,fo-mhíreanna,,fo,eanna
850,quercetin,,,in
851,gcuirí,g,,í
852,François,,,is
853,shlis,,,is
854,fhorálfidh,,,fidh
855,fhaireora,,,ra
856,capsúil,,,úil
857,geallshealbhóirí,,,í
858,3-4-ú,,,ú
859,nochtadh,,,adh
860,dúchasach,,dú,ach
861,mhéadófar,,,ófar
862,phráinneach,,,each
863,Féara,,,ra
864,dheighleálann,,,lann
865,d'fhorfheidhmiú,d',,iú
866,bithéagsúlacht,,bith,acht
867,chó-aontuithe,,,ithe
868,coiníní,,,í
869,fóirdheontas,,,tas
870,fhorfheidhmithe,,,ithe
871,tualach,t,,ach
872,tsláinte,t,,te
873,dochreidte,,do,te
874,d'fhóirdheontais,d',,ais
875,dhóiteán,,,eán
876,Lindisfarne,,,ne
877,Astrálacha,,,acha
878,Aeráide,,,e
879,breithe,,,ithe
880,Bronnadh,,,adh
881,bhféadfá,bh,,fá
882,flaisfhianáin,,,in
883,Fhioscach,,,ach
884,formheasanna,,for,anna
885,d'éascú,d',éa,ú
886,olltáirgthe,,oll,the
887,tsinneagóid,t,,óid
888,Tine,,,ne
889,hAithne,h,,ne
890,neamhdhlisteanach,,neamh,ach
891,Soláthairtí,,,tí
892,Angla-Éireannach,,Angla,ach
893,príomh-insliú,,príomh,iú
894,Thóg,,,óg
895,dhéileálacha,,,acha
896,ardáin,,ard,in
897,nítimí,,,í
898,corrfholúntas,,corr,tas
899,leathdheireanach,,leath,ach
900,ollmhargadh,,oll,adh
901,Paisinéirí,,,í
902,bhforchuirfear,bh,for,fear
903,ionmhuirearuithe,,ion,ithe
904,boilsciú,,,iú
905,mblian,m,,an
906,réamh-éigeandála,,réamh,a
907,shainchúraimí,,,í
908,laonna,,,na
909,Albaim,,,aim
910,bhfeidhmeanna,bh,,eanna
911,tóirse,t,,se
912,scórála,,,a
913,leictreonacha,,leictr,acha
914,teangeolaíochta,t,,ta
915,Cuarda,,,da
916,thaobhaíonn,,,aíonn
917,leabhar-fhiach,,,ach
918,directive,,,e
919,gcomhghleacaithe,g,comh,aithe
920,báistí,,,tí
921,Bileoga,,,ga
922,n-iarratais,n-,iar,ais
923,inniúlacht,,in,acht
924,fíneáil-tune,,,ne
925,ghnáthcheadúnas,,,únas
926,leas-chontae-bhainisteoir,,leas,eoir
927,píoblíne,,,ne
928,atreisiú,,,iú
929,fiosrúchán,,,án
930,chomórtas,,,tas
931,eis,,,is
932,ndaonlathas,n,daon,lathas
933,Tiomnaíonn,,,aíonn
934,chorrthrádála,,,a
935,gCaibidlí,g,,í
936,ainlithe,,ain,ithe
937,choinníonn,,,íonn
938,scriosa,,,sa
939,liachta,,,ta
940,d'ainmhithe,d',ain,ithe
941,Réamhscrúdú,,,ú
942,Saoránaigh,,,aigh
943,fostaíochtaí,,fo,taí
944,Polasaí,,,aí
945,nochta,,,ta
946,bhanchéile,,,e
947,cúrsáil,,,áil
948,rannchuideoidh,,,idh
949,Dhuibhne,,,ne
950,lárú,,lár,ú
951,bunófar,,bun,ófar
952,muinteartha,,,tha
953,channabas,,,as
954,ndíolfaí,n,dí,aí
955,Ndán,,,án
956,diagnóisíodh,,dia,íodh
957,Stiúradh,,,radh
958,feadfí,,,fí
959,rannchuideofaí,,,aí
960,Géineas,,,eas
961,ndeinidh,n,,idh
962,dhíspreagthach,,,ach
